epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.217,2.22038,2.96637,0.85525,0.59611,0.20895,0.25175,0.10565,2.20839,0.98246,0.84274,0.0033224,0.0033224,0.0033224
2,32.1406,1.86939,1.12789,0.79921,0.59623,0.3305,0.31159,0.17266,1.42547,0.66377,0.83589,0.00657337,0.00657337,0.00657337
3,47.8412,1.65203,0.90994,0.79274,0.66914,0.33364,0.34135,0.19892,0.97851,0.62185,0.82034,0.00974184,0.00974184,0.00974184
4,63.335,1.31814,0.76803,0.78183,0.23067,0.55116,0.35637,0.23774,0.7131,0.56297,0.81856,0.00962875,0.00962875,0.00962875
5,78.8214,1.08769,0.67212,0.77368,0.23859,0.51506,0.35196,0.24194,0.7211,0.46786,0.81523,0.009505,0.009505,0.009505
6,94.4186,0.97194,0.61469,0.76911,0.23931,0.52895,0.34701,0.25116,0.60641,0.44988,0.81367,0.00938125,0.00938125,0.00938125
7,109.922,0.89277,0.57581,0.7652,0.3815,0.32532,0.29541,0.22979,0.61135,0.39959,0.8151,0.0092575,0.0092575,0.0092575
8,125.377,0.83137,0.5529,0.76337,0.44427,0.36329,0.28973,0.2118,0.50028,0.48208,0.81403,0.00913375,0.00913375,0.00913375
9,140.811,0.78271,0.52979,0.76291,0.65617,0.27749,0.28175,0.23525,0.44895,0.39186,0.81002,0.00901,0.00901,0.00901
10,156.334,0.74568,0.50721,0.7604,0.44562,0.39453,0.30283,0.26593,0.36393,0.37094,0.80535,0.00888625,0.00888625,0.00888625
11,171.821,0.7144,0.49211,0.75856,0.4391,0.37526,0.29347,0.24127,0.41691,0.3768,0.80891,0.0087625,0.0087625,0.0087625
12,187.472,0.69454,0.48514,0.75791,0.57855,0.27137,0.29225,0.24796,0.33206,0.34254,0.80443,0.00863875,0.00863875,0.00863875
