epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7307,2.20682,2.7633,0.85371,0.72877,0.23629,0.36507,0.19083,1.31807,1.41116,0.86183,0.00332143,0.00332143,0.00332143
2,23.1053,1.84488,0.91626,0.7999,0.81084,0.27145,0.38916,0.19442,1.83007,0.67112,0.84218,0.00658888,0.00658888,0.00658888
3,34.3578,1.65221,0.75473,0.79561,0.74564,0.40859,0.5107,0.25794,1.30389,0.60175,0.8299,0.00979033,0.00979033,0.00979033
4,45.5767,1.3197,0.60052,0.78337,0.71182,0.30603,0.47985,0.31997,0.74197,0.3446,0.82508,0.009703,0.009703,0.009703
5,56.6445,1.07748,0.49971,0.77551,0.57708,0.28811,0.37062,0.26176,0.73511,0.40177,0.82009,0.009604,0.009604,0.009604
6,67.7861,0.96206,0.44584,0.77071,0.69121,0.29568,0.36862,0.26509,0.71363,0.43174,0.82733,0.009505,0.009505,0.009505
7,78.9553,0.87816,0.40723,0.76703,0.63373,0.30328,0.38807,0.29614,0.41314,0.26745,0.81147,0.009406,0.009406,0.009406
8,90.2032,0.8216,0.382,0.76437,0.59842,0.29573,0.34233,0.27278,0.44618,0.24132,0.81067,0.009307,0.009307,0.009307
9,101.36,0.77115,0.3582,0.76323,0.50711,0.30895,0.40503,0.32701,0.40587,0.2395,0.81272,0.009208,0.009208,0.009208
10,112.536,0.74033,0.3443,0.7629,0.33474,0.38815,0.39402,0.32735,0.36433,0.23995,0.80464,0.009109,0.009109,0.009109
11,123.675,0.70748,0.32949,0.7598,0.3301,0.37882,0.37921,0.30921,0.50428,0.24749,0.81268,0.00901,0.00901,0.00901
12,134.869,0.68575,0.31732,0.75983,0.35925,0.38145,0.38326,0.32782,0.33176,0.21302,0.80505,0.008911,0.008911,0.008911
13,145.905,0.66218,0.3086,0.75839,0.37798,0.39329,0.39105,0.3399,0.33298,0.2277,0.80104,0.008812,0.008812,0.008812
14,157.14,0.64082,0.29869,0.7577,0.36484,0.38359,0.38081,0.33278,0.29304,0.16848,0.8021,0.008713,0.008713,0.008713
15,168.362,0.62778,0.29324,0.75686,0.43556,0.4781,0.49936,0.39175,0.27078,0.20291,0.8004,0.008614,0.008614,0.008614
16,179.38,0.61281,0.28775,0.75626,0.45922,0.47611,0.51843,0.38664,0.26655,0.16509,0.80197,0.008515,0.008515,0.008515
17,190.574,0.59886,0.28278,0.75516,0.35884,0.38536,0.40724,0.35127,0.28888,0.19181,0.80141,0.008416,0.008416,0.008416
18,201.711,0.58547,0.2757,0.75427,0.40203,0.38913,0.43344,0.37455,0.26429,0.21287,0.79877,0.008317,0.008317,0.008317
19,212.94,0.57477,0.27051,0.75374,0.34459,0.38474,0.41074,0.35904,0.21619,0.15372,0.79882,0.008218,0.008218,0.008218
20,223.973,0.56617,0.26752,0.75289,0.48001,0.38416,0.44675,0.37072,0.29877,0.17138,0.79978,0.008119,0.008119,0.008119
21,235.125,0.55351,0.26126,0.75334,0.73434,0.35597,0.46515,0.38219,0.22602,0.1656,0.80034,0.00802,0.00802,0.00802
22,246.359,0.54578,0.25803,0.75176,0.49093,0.48133,0.52463,0.40438,0.19623,0.15349,0.79898,0.007921,0.007921,0.007921
23,257.534,0.53433,0.2547,0.75166,0.72784,0.3504,0.44739,0.38117,0.25005,0.15456,0.79837,0.007822,0.007822,0.007822
24,268.637,0.52562,0.25173,0.75177,0.70845,0.35445,0.4228,0.37677,0.21751,0.14001,0.79743,0.007723,0.007723,0.007723
25,279.893,0.52073,0.24975,0.75059,0.73174,0.34455,0.43004,0.38776,0.21675,0.15818,0.797,0.007624,0.007624,0.007624
26,291.103,0.51425,0.2449,0.7513,0.66756,0.34562,0.45356,0.39199,0.20052,0.13472,0.7967,0.007525,0.007525,0.007525
27,302.353,0.50261,0.24169,0.75061,0.45212,0.47273,0.46777,0.39381,0.17425,0.1314,0.79554,0.007426,0.007426,0.007426
28,313.504,0.4989,0.23931,0.75031,0.51085,0.46817,0.52032,0.41074,0.22969,0.12873,0.79526,0.007327,0.007327,0.007327
29,324.759,0.49444,0.23729,0.74994,0.721,0.36005,0.42808,0.38378,0.18376,0.12384,0.79585,0.007228,0.007228,0.007228
30,335.929,0.48605,0.23451,0.75043,0.69018,0.34217,0.43677,0.38327,0.21303,0.11901,0.79558,0.007129,0.007129,0.007129
31,347.175,0.4799,0.23293,0.74809,0.71665,0.35953,0.43682,0.39472,0.20111,0.13855,0.79476,0.00703,0.00703,0.00703
32,358.399,0.47314,0.23176,0.74836,0.66815,0.34395,0.44907,0.39483,0.19735,0.14125,0.79495,0.006931,0.006931,0.006931
33,369.556,0.46666,0.22793,0.74823,0.71733,0.34257,0.44964,0.39896,0.2042,0.12301,0.79397,0.006832,0.006832,0.006832
34,380.686,0.46086,0.22458,0.74868,0.6666,0.34315,0.43115,0.39529,0.17876,0.12844,0.79367,0.006733,0.006733,0.006733
35,391.868,0.45576,0.22332,0.7486,0.72459,0.33889,0.44268,0.3977,0.18844,0.1366,0.79281,0.006634,0.006634,0.006634
36,402.956,0.45348,0.2223,0.74752,0.5453,0.46286,0.53146,0.41382,0.19588,0.12698,0.79308,0.006535,0.006535,0.006535
37,414.178,0.44892,0.22022,0.74768,0.51962,0.46742,0.53063,0.40761,0.17783,0.13281,0.79231,0.006436,0.006436,0.006436
38,425.353,0.44209,0.21793,0.74659,0.51641,0.46238,0.52474,0.40573,0.20365,0.11537,0.79299,0.006337,0.006337,0.006337
39,436.496,0.43582,0.2149,0.74696,0.50483,0.46838,0.52176,0.40927,0.20705,0.11713,0.79191,0.006238,0.006238,0.006238
40,447.609,0.4323,0.21393,0.74768,0.52276,0.46668,0.52258,0.41736,0.21386,0.12053,0.79188,0.006139,0.006139,0.006139
41,458.758,0.42636,0.21064,0.74591,0.53243,0.46905,0.52646,0.42062,0.20947,0.12367,0.79172,0.00604,0.00604,0.00604
42,469.909,0.423,0.21099,0.74589,0.46105,0.37807,0.43878,0.4029,0.21057,0.12967,0.79146,0.005941,0.005941,0.005941
43,481.082,0.41577,0.20662,0.74658,0.47565,0.37833,0.4404,0.40281,0.2055,0.1162,0.79127,0.005842,0.005842,0.005842
44,492.109,0.4136,0.20585,0.74618,0.4759,0.37827,0.44046,0.40307,0.20526,0.11005,0.79109,0.005743,0.005743,0.005743
45,503.208,0.40879,0.20462,0.7455,0.66612,0.34219,0.45915,0.40655,0.19658,0.11338,0.79074,0.005644,0.005644,0.005644
46,514.364,0.40355,0.20306,0.7454,0.66607,0.34194,0.46124,0.40604,0.20074,0.10496,0.79048,0.005545,0.005545,0.005545
