epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,599.571,0.40785,0.20347,0.74615,0.72661,0.34093,0.43042,0.39691,0.19246,0.11991,0.78979,0.005743,0.005743,0.005743
45,613.159,0.40225,0.20123,0.74485,0.72657,0.3408,0.43191,0.3985,0.21158,0.12816,0.78954,0.005644,0.005644,0.005644
46,626.777,0.39846,0.20102,0.7449,0.72652,0.34094,0.42124,0.39003,0.2131,0.12997,0.78951,0.005545,0.005545,0.005545
47,640.349,0.39327,0.19799,0.74508,0.72652,0.34154,0.42107,0.39048,0.21016,0.1254,0.78943,0.005446,0.005446,0.005446
48,653.908,0.38936,0.19669,0.74399,0.72642,0.34195,0.42133,0.39135,0.19313,0.12463,0.78927,0.005347,0.005347,0.005347
49,667.471,0.38708,0.19557,0.7438,0.72656,0.34164,0.4224,0.39313,0.20695,0.12415,0.78908,0.005248,0.005248,0.005248
50,681.024,0.38286,0.19329,0.7445,0.72656,0.3416,0.42294,0.39498,0.20744,0.12682,0.78896,0.005149,0.005149,0.005149
51,694.681,0.3784,0.19178,0.74392,0.72647,0.34144,0.4208,0.39407,0.20711,0.12713,0.78888,0.00505,0.00505,0.00505
52,708.294,0.37367,0.18936,0.74374,0.72652,0.34132,0.42038,0.39372,0.21014,0.12598,0.78872,0.004951,0.004951,0.004951
53,721.944,0.36921,0.18866,0.74431,0.72647,0.34146,0.42192,0.39334,0.2144,0.12617,0.78863,0.004852,0.004852,0.004852
54,735.529,0.36796,0.18672,0.74359,0.7265,0.34169,0.42136,0.39385,0.21555,0.12568,0.78845,0.004753,0.004753,0.004753
55,749.183,0.36374,0.18706,0.74357,0.72647,0.34178,0.42136,0.39324,0.19652,0.12439,0.78832,0.004654,0.004654,0.004654
56,762.835,0.35866,0.18374,0.7436,0.72646,0.34175,0.42171,0.39391,0.19813,0.1259,0.78817,0.004555,0.004555,0.004555
57,776.517,0.35353,0.18217,0.74286,0.72654,0.34194,0.42074,0.39418,0.19498,0.1225,0.78807,0.004456,0.004456,0.004456
58,790.111,0.34973,0.17998,0.74209,0.63556,0.34168,0.42065,0.39492,0.17563,0.11251,0.78795,0.004357,0.004357,0.004357
59,803.758,0.34866,0.18022,0.74301,0.63556,0.34174,0.42065,0.39443,0.17252,0.11204,0.7878,0.004258,0.004258,0.004258
60,817.409,0.34281,0.17759,0.74231,0.63556,0.34175,0.41979,0.39374,0.15512,0.0972,0.78767,0.004159,0.004159,0.004159
61,831.042,0.33938,0.17695,0.74154,0.63556,0.34177,0.41985,0.39298,0.15202,0.09457,0.78755,0.00406,0.00406,0.00406
62,844.524,0.33593,0.17493,0.74271,0.63556,0.34182,0.41985,0.39301,0.14357,0.08719,0.78744,0.003961,0.003961,0.003961
63,858.132,0.33293,0.17362,0.74163,0.63563,0.3419,0.42121,0.39489,0.13806,0.08174,0.78734,0.003862,0.003862,0.003862
64,871.699,0.32911,0.17316,0.74226,0.63563,0.34187,0.42142,0.39513,0.13955,0.08231,0.78726,0.003763,0.003763,0.003763
65,885.347,0.32432,0.17055,0.74165,0.63565,0.34188,0.4214,0.39462,0.14056,0.08326,0.78724,0.003664,0.003664,0.003664
66,898.874,0.32166,0.16943,0.74159,0.63565,0.3419,0.42142,0.39464,0.14119,0.0828,0.7872,0.003565,0.003565,0.003565
67,912.441,0.31661,0.1665,0.742,0.63525,0.34187,0.4214,0.39483,0.14249,0.08792,0.7871,0.003466,0.003466,0.003466
68,926.117,0.31564,0.16662,0.74146,0.63523,0.34186,0.4214,0.3951,0.14359,0.08552,0.78703,0.003367,0.003367,0.003367
69,939.685,0.31068,0.16531,0.74144,0.63523,0.34186,0.42127,0.39506,0.15069,0.09197,0.78693,0.003268,0.003268,0.003268
70,953.229,0.30678,0.16325,0.74178,0.63523,0.34189,0.41984,0.39352,0.14543,0.08708,0.78687,0.003169,0.003169,0.003169
71,966.833,0.30301,0.16235,0.74027,0.63523,0.34187,0.41984,0.39407,0.15426,0.10028,0.78679,0.00307,0.00307,0.00307
72,980.382,0.30176,0.1614,0.73982,0.63523,0.34188,0.41982,0.39451,0.14873,0.09862,0.78672,0.002971,0.002971,0.002971
73,993.912,0.29802,0.15843,0.73997,0.63524,0.3419,0.41977,0.39485,0.16345,0.10864,0.78663,0.002872,0.002872,0.002872
74,1007.48,0.29256,0.15655,0.74102,0.63551,0.34197,0.41976,0.39523,0.16873,0.10944,0.78656,0.002773,0.002773,0.002773
75,1021.13,0.29258,0.15628,0.74027,0.6356,0.34192,0.41974,0.39494,0.16371,0.11062,0.7865,0.002674,0.002674,0.002674
76,1034.66,0.28803,0.15519,0.73993,0.63565,0.34195,0.41974,0.39479,0.16657,0.11205,0.78643,0.002575,0.002575,0.002575
77,1048.27,0.28338,0.15234,0.73999,0.63565,0.3417,0.41973,0.39489,0.16716,0.10812,0.78633,0.002476,0.002476,0.002476
78,1061.89,0.27997,0.15172,0.7398,0.63564,0.34175,0.41974,0.39473,0.17089,0.10597,0.78619,0.002377,0.002377,0.002377
79,1075.63,0.27748,0.14928,0.74042,0.63564,0.34178,0.41938,0.39453,0.1698,0.11012,0.78614,0.002278,0.002278,0.002278
80,1089.25,0.27394,0.14902,0.73943,0.63564,0.34163,0.4192,0.39415,0.18006,0.11003,0.786,0.002179,0.002179,0.002179
81,1102.88,0.26966,0.14705,0.74028,0.63564,0.34169,0.41921,0.39412,0.1791,0.12196,0.78592,0.00208,0.00208,0.00208
82,1116.48,0.2665,0.14433,0.74072,0.63564,0.34169,0.41919,0.39395,0.18784,0.11318,0.7858,0.001981,0.001981,0.001981
83,1130.16,0.26544,0.14421,0.73945,0.63564,0.3417,0.41914,0.39434,0.18015,0.11797,0.78571,0.001882,0.001882,0.001882
84,1143.74,0.26147,0.14221,0.73939,0.63565,0.3417,0.41897,0.39488,0.1998,0.10587,0.7856,0.001783,0.001783,0.001783
85,1157.36,0.25734,0.14014,0.73873,0.63565,0.34159,0.41919,0.39576,0.20339,0.10357,0.78552,0.001684,0.001684,0.001684
86,1170.93,0.25489,0.13854,0.73907,0.63565,0.34159,0.41915,0.39411,0.20777,0.0987,0.7854,0.001585,0.001585,0.001585
87,1184.47,0.25215,0.13785,0.73721,0.63569,0.34162,0.41919,0.39501,0.20241,0.09853,0.78528,0.001486,0.001486,0.001486
